inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
0.054702,0,0,0,0.054702,-1300.972473,-11211.21089,41133.80935,0.054702,1300.972473,-11211.21089,-41133.80935,0.054702,253.958431,-2189.750904,-8029.733452,0.054702,272735.3393,-2.35E+06,-8.62E+06
0.092037,0,0,0,0.092037,2173.852304,-18729.12368,-68731.81798,0.092037,2173.852304,-18729.12368,-68731.81798,0.092037,701.437058,-6044.854297,-22177.87402,0.092037,250195.4989,-2.15E+06,-7.91E+06
0.136086,0,0,0,0.136086,2691.551378,-23187.36824,-85099.94088,0.136086,2691.551378,-23187.36824,-85099.94088,0.136086,1316.183047,-11340.31815,-41614.50702,0.136086,229130.7041,-1.97E+06,-7.24E+06
0.190445,0,0,0,0.190445,2867.5516,-24702.44481,-90664.47961,0.190445,2867.5516,-24702.44481,-90664.47961,0.190445,2000.241632,-17232.42745,-63242.57042,0.190445,209545.5008,-1.80E+06,-6.63E+06
0.232239,0,0,0,0.232239,3357.637589,-28923.75178,-106159.6489,0.232239,3357.637589,-28923.75178,-106159.6489,0.232239,2410.715769,-20767.86746,-76220.62039,0.232239,198036.9084,-1.71E+06,-6.26E+06
0.284672,0,0,0,0.284672,3454.985411,-29761.94893,-109237.4741,0.284672,3454.985411,-29761.94893,-109237.4741,0.284672,2813.359546,-24235.78585,-88951.08353,0.284672,186710.7978,-1.61E+06,-5.90E+06
0.33522,0,0,0,0.33522,3421.260304,-29471.23148,-108171.1396,0.33522,3421.260304,-29471.23148,-108171.1396,0.33522,3153.613304,-27166.37985,-99708.94945,0.33522,178143.3987,-1.53E+06,-5.63E+06
0.375841,0,0,0,0.375841,3773.259104,-32503.30095,-119300.3807,0.375841,3773.259104,-32503.30095,-119300.3807,0.375841,3415.864618,-29425.19762,-108000.6012,0.375841,172475.8424,-1.49E+06,-5.45E+06
0.422812,0,0,0,0.422812,3968.074243,-34181.40459,-125459.8934,0.422812,3968.074243,-34181.40459,-125459.8934,0.422812,3653.163643,-31469.10568,-115503.3282,0.422812,166966.3521,-1.44E+06,-5.28E+06
0.477579,0,0,0,0.477579,4154.729616,-35789.26825,-131361.4168,0.477579,4154.729616,-35789.26825,-131361.4168,0.477579,3804.415613,-32771.84547,-120285.4786,0.477579,161660.8353,-1.39E+06,-5.11E+06
0.535375,0,0,0,0.535375,3651.807088,-31457.08578,-115460.3405,0.535375,3651.807088,-31457.08578,-115460.3405,0.535375,3826.060457,-32958.21037,-120969.8043,0.535375,157093.8428,-1.35E+06,-4.97E+06
0.586767,0,0,0,0.586767,3550.458658,-30584.1285,-112255.9664,0.586767,3550.458658,-30584.1285,-112255.9664,0.586767,3748.218396,-32287.65014,-118508.6292,0.586767,153752.3541,-1.32E+06,-4.86E+06
0.635972,0,0,0,0.635972,3810.732603,-32826.26008,-120485.1228,0.635972,3810.732603,-32826.26008,-120485.1228,0.635972,3679.698756,-31697.43407,-116342.2088,0.635972,151056.3413,-1.30E+06,-4.78E+06
0.702742,0,0,0,0.702742,3603.145378,-31038.22757,-113921.7671,0.702742,3603.145378,-31038.22757,-113921.7671,0.702742,3660.796279,-31534.68584,-115744.5499,0.702742,148035.6294,-1.27E+06,-4.68E+06
0.761031,0,0,0,0.761031,3432.069174,-29564.70005,-108512.7951,0.761031,3432.069174,-29564.70005,-108512.7951,0.761031,3670.89402,-31621.77993,-116063.8054,0.761031,145905.8848,-1.26E+06,-4.61E+06
